t,phi1,phi2,phi3,phi4,phi5,phi6,w1,w2,w3,v1,v2,v3,vd_w1,vd_w2,vd_w3,vd_v1,vd_v2,vd_v3,upri1,upri2,upri3,upri4,upri5,upri6,upri7,ufin1,ufin2,ufin3,ufin4,ufin5,ufin6,ufin7
5.174572,-0.020933,-0.107765,-0.010284,0.065372,-0.040168,-0.091720,0.668448,1.988607,0.361549,1.003377,-0.281791,-0.562075,0.000000,0.000000,0.000000,-0.016453,0.149896,0.020000,12.603729,5.245099,11.111169,78.428456,1.419511,0.288106,-0.050178,12.603729,5.245099,11.111169,78.428456,1.418511,0.289106,-0.049178
5.258809,-0.021665,-0.109863,-0.010562,0.064450,-0.040654,-0.091099,0.729674,2.097195,0.295477,1.021629,-0.351664,-0.546600,0.000000,0.000000,0.000000,-0.016736,0.149865,0.020000,6.029789,3.537806,4.618580,79.564924,0.710852,-0.400523,0.102007,6.028789,3.536806,4.617580,79.564924,0.711852,-0.399523,0.101007
5.342904,-0.022409,-0.111967,-0.010895,0.063514,-0.041149,-0.090488,0.737466,2.103411,0.351447,1.032023,-0.344878,-0.537790,0.000000,0.000000,0.000000,-0.017018,0.149833,0.020000,8.070172,1.321644,6.641735,79.609523,0.830001,-0.657622,0.036421,8.070172,1.320644,6.640735,79.609523,0.831001,-0.656622,0.035421
5.435757,-0.023181,-0.114117,-0.011249,0.062571,-0.041649,-0.089886,0.763641,2.148869,0.373007,1.038126,-0.343527,-0.525552,0.000000,0.000000,0.000000,-0.017301,0.149801,0.020000,9.701496,0.080875,8.212064,80.276992,0.866716,-0.977326,0.025585,9.701496,0.079875,8.211064,80.276992,0.867716,-0.976326,0.024585
5.524051,-0.023987,-0.116305,-0.011602,0.061621,-0.042135,-0.089288,0.799188,2.186997,0.374340,1.046069,-0.360440,-0.520002,0.000000,0.000000,0.000000,-0.017583,0.149768,0.020000,9.161001,-1.354062,7.677479,80.187740,0.664386,-1.384937,0.047912,9.161001,-1.355062,7.677479,80.187740,0.665386,-1.383937,0.046912
5.609834,-0.024809,-0.118525,-0.011979,0.060666,-0.042618,-0.088702,0.813758,2.219876,0.397575,1.050393,-0.364376,-0.506214,0.000000,0.000000,0.000000,-0.017865,0.149734,0.020000,9.553624,-2.777901,8.037622,80.998341,0.693150,-1.619393,0.033081,9.552624,-2.778901,8.036622,80.998341,0.694150,-1.618393,0.032081
5.696552,-0.025654,-0.120761,-0.012349,0.059701,-0.043085,-0.088122,0.837223,2.234507,0.393184,1.058465,-0.381554,-0.500397,0.000000,0.000000,0.000000,-0.018148,0.149700,0.020000,8.688696,-4.673286,7.212145,80.809108,0.524639,-1.941677,0.057026,8.688696,-4.672286,7.212145,80.809108,0.525639,-1.940677,0.056026
5.782905,-0.026510,-0.123009,-0.012741,0.058731,-0.043554,-0.087558,0.846669,2.247122,0.415336,1.060438,-0.380231,-0.484498,0.000000,0.000000,0.000000,-0.018430,0.149666,0.020000,9.648060,-6.279511,8.121921,81.758973,0.610865,-2.044972,0.035872,9.648060,-6.278511,8.121921,81.758973,0.611865,-2.043972,0.034872
5.876767,-0.027252,-0.124888,-0.013119,0.057768,-0.044055,-0.087002,0.730956,1.879606,0.398007,1.019432,-0.336702,-0.504553,0.000000,0.000000,0.000000,-0.018712,0.149631,0.020000,12.717248,-8.825122,11.188888,77.648511,1.178048,-0.681670,-0.060302,12.717248,-8.825122,11.188888,77.648511,1.178048,-0.681670,-0.059302
5.962022,-0.028050,-0.126852,-0.013407,0.056802,-0.044480,-0.086457,0.794124,1.962301,0.311843,1.029908,-0.411912,-0.486876,0.000000,0.000000,0.000000,-0.018994,0.149595,0.020000,5.816432,-10.514055,4.561024,78.973965,0.434206,-1.166863,0.109477,5.816431,-10.514055,4.560024,78.973965,0.435206,-1.165863,0.108477
